crop,photosens,basetemp,basetemp2,basephoto,fphu.ant,vern.temp.min,vern.temp.opt.min,vern.temp.opt.max,vern.temp.max,max.vern.days
wwh,long,0,0,8,0.45,-4,3,10,17,70
swh,long,0,0,8,0.45,,,,,
mai,short,5,5,24,0.5,,,,,
ri1,short,8,8,24,0.5,,,,,
ri2,short,8,8,24,0.5,,,,,
soy,short,7,7,24,0.5,,,,,
mil,short,8,8,24,0.5,,,,,
sor,short,8,8,24,0.5,,,,,
pea,long,1,1,8,0.5,,,,,
sgb,long,3,3,8,0.5,,,,,
cas,short,15,15,24,0.5,,,,,
rap,long,0,0,8,0.5,-4,3,10,17,70
sun,long,6,6,8,0.4,,,,,
nut,long,14,14,8,0.4,,,,,
sgc,long,12,12,8,0.4,,,,,
